cow_number;datetime;code_1_5;code_6_or_12;code_15;other_1;other_2
2;2019-04-16 12:37:31;2;12;0;0;0
2;2019-04-16 12:37:32;2;12;0;0;0
2;2019-04-16 12:37:33;2;12;0;0;0
2;2019-04-16 12:37:34;2;12;0;0;0
2;2019-04-16 12:37:35;2;12;0;0;0
2;2019-04-16 12:37:36;2;12;0;0;0
2;2019-04-16 12:37:37;2;12;0;0;0
2;2019-04-16 12:37:38;2;12;0;0;0
2;2019-04-16 12:37:39;2;12;0;0;0
2;2019-04-16 12:37:40;2;12;0;0;0
2;2019-04-16 12:37:41;2;12;0;0;0
2;2019-04-16 12:37:42;2;12;0;0;0
2;2019-04-16 12:37:43;2;12;0;0;0
2;2019-04-16 12:37:44;2;12;0;0;0
2;2019-04-16 12:37:45;2;12;0;0;0
2;2019-04-16 12:37:46;2;12;0;0;0
2;2019-04-16 12:37:47;2;12;0;0;0
2;2019-04-16 12:37:48;2;12;0;0;0
2;2019-04-16 12:37:49;2;12;0;0;0
2;2019-04-16 12:37:50;2;12;0;0;0
2;2019-04-16 12:37:51;2;12;0;0;0
2;2019-04-16 12:37:52;2;12;0;0;0
2;2019-04-16 12:37:53;2;12;0;0;0
2;2019-04-16 12:37:54;2;12;0;0;0
2;2019-04-16 12:37:55;2;12;0;0;0
2;2019-04-16 12:37:56;2;12;0;0;0
2;2019-04-16 12:37:57;2;12;0;0;0
2;2019-04-16 12:37:58;2;12;0;0;0
2;2019-04-16 12:37:59;2;12;0;0;0
2;2019-04-16 12:38:00;2;12;0;0;0
2;2019-04-16 12:38:01;2;12;0;0;0
2;2019-04-16 12:38:02;2;12;0;0;0
2;2019-04-16 12:38:03;2;12;0;0;0
2;2019-04-16 12:38:04;2;12;0;0;0
2;2019-04-16 12:38:05;2;12;0;0;0
2;2019-04-16 12:38:06;2;12;0;0;0
2;2019-04-16 12:38:07;2;12;0;0;0
2;2019-04-16 12:38:08;2;12;0;0;0
2;2019-04-16 12:38:09;2;12;0;0;0
2;2019-04-16 12:38:10;2;12;0;0;0
2;2019-04-16 12:38:11;2;12;0;0;0
2;2019-04-16 12:38:12;2;12;0;0;0
2;2019-04-16 12:38:13;2;12;0;0;0
2;2019-04-16 12:38:14;2;12;0;0;0
2;2019-04-16 12:38:15;2;12;0;0;0
2;2019-04-16 12:38:16;2;12;0;0;0
2;2019-04-16 12:38:17;2;12;0;0;0
2;2019-04-16 12:38:18;2;12;0;0;0
2;2019-04-16 12:38:19;2;12;0;0;0
2;2019-04-16 12:38:20;2;12;0;0;0
2;2019-04-16 12:38:21;2;12;0;0;0
